run_id,step_name,status,start_time_utc,end_time_utc,duration_seconds,rows_processed,error_message
20260423023151,generate_data.py,SUCCESS,2026-04-23T02:31:51.109559+00:00,2026-04-23T02:31:51.974182+00:00,0.865,,
20260423023151,clean_data.py,SUCCESS,2026-04-23T02:31:51.975804+00:00,2026-04-23T02:31:52.843571+00:00,0.868,900,
20260423023151,data_quality.py,SUCCESS,2026-04-23T02:31:52.855590+00:00,2026-04-23T02:31:53.706884+00:00,0.851,,
20260423023151,load_data.py,SUCCESS,2026-04-23T02:31:53.708577+00:00,2026-04-23T02:31:54.572593+00:00,0.864,900,
20260423023151,run_analysis.py,SUCCESS,2026-04-23T02:31:54.579719+00:00,2026-04-23T02:31:54.666905+00:00,0.087,,
20260423023151,pyspark_processing.py,FAILED,2026-04-23T02:31:54.667474+00:00,2026-04-23T02:31:55.760846+00:00,1.093,,"Command '['/opt/anaconda3/bin/python3', '/Users/youssefkassem/Projects/marketing-data-platform/scripts/pyspark_processing.py']' returned non-zero exit status 1."
20260423023305,generate_data.py,SUCCESS,2026-04-23T02:33:05.452731+00:00,2026-04-23T02:33:06.309774+00:00,0.857,,
20260423023305,clean_data.py,SUCCESS,2026-04-23T02:33:06.310720+00:00,2026-04-23T02:33:07.172175+00:00,0.861,900,
20260423023305,data_quality.py,SUCCESS,2026-04-23T02:33:07.185292+00:00,2026-04-23T02:33:08.027953+00:00,0.843,,
20260423023305,load_data.py,SUCCESS,2026-04-23T02:33:08.028563+00:00,2026-04-23T02:33:08.877766+00:00,0.849,900,
20260423023305,run_analysis.py,SUCCESS,2026-04-23T02:33:08.883557+00:00,2026-04-23T02:33:08.977661+00:00,0.094,,
20260423023305,pyspark_processing.py,SUCCESS,2026-04-23T02:33:08.978253+00:00,2026-04-23T02:33:09.346482+00:00,0.368,,
20260423023305,generate_dashboard.py,SUCCESS,2026-04-23T02:33:09.347245+00:00,2026-04-23T02:33:11.696870+00:00,2.35,,
20260423023305,export_for_powerbi.py,SUCCESS,2026-04-23T02:33:11.697586+00:00,2026-04-23T02:33:12.869141+00:00,1.172,900,
20260423023305,generate_presentation.py,SUCCESS,2026-04-23T02:33:12.875204+00:00,2026-04-23T02:33:13.318424+00:00,0.443,,
20260423023502,generate_data.py,SUCCESS,2026-04-23T02:35:02.667091+00:00,2026-04-23T02:35:03.428121+00:00,0.761,,
20260423023502,clean_data.py,SUCCESS,2026-04-23T02:35:03.428853+00:00,2026-04-23T02:35:04.164127+00:00,0.735,900,
20260423023502,data_quality.py,SUCCESS,2026-04-23T02:35:04.176059+00:00,2026-04-23T02:35:04.891664+00:00,0.716,,
20260423023502,load_data.py,SUCCESS,2026-04-23T02:35:04.892329+00:00,2026-04-23T02:35:05.645801+00:00,0.753,900,
20260423023502,run_analysis.py,SUCCESS,2026-04-23T02:35:05.651477+00:00,2026-04-23T02:35:05.732822+00:00,0.081,,
20260423023502,pyspark_processing.py,SUCCESS,2026-04-23T02:35:05.733312+00:00,2026-04-23T02:35:06.048102+00:00,0.315,,
20260423023502,generate_dashboard.py,SUCCESS,2026-04-23T02:35:06.048765+00:00,2026-04-23T02:35:07.386105+00:00,1.337,,
20260423023502,export_for_powerbi.py,SUCCESS,2026-04-23T02:35:07.386721+00:00,2026-04-23T02:35:08.370898+00:00,0.984,900,
20260423023502,generate_presentation.py,SUCCESS,2026-04-23T02:35:08.376297+00:00,2026-04-23T02:35:08.675618+00:00,0.299,,
20260423025627,generate_data.py,SUCCESS,2026-04-23T02:56:27.170190+00:00,2026-04-23T02:56:28.509257+00:00,1.339,,
20260423025627,clean_data.py,SUCCESS,2026-04-23T02:56:28.510833+00:00,2026-04-23T02:56:29.929559+00:00,1.419,900,
20260423025627,data_quality.py,SUCCESS,2026-04-23T02:56:29.948684+00:00,2026-04-23T02:56:31.264148+00:00,1.315,,
20260423025627,load_data.py,SUCCESS,2026-04-23T02:56:31.264948+00:00,2026-04-23T02:56:32.609316+00:00,1.344,900,
20260423025627,run_analysis.py,SUCCESS,2026-04-23T02:56:32.618591+00:00,2026-04-23T02:56:32.805638+00:00,0.187,,
20260423025627,pyspark_processing.py,SUCCESS,2026-04-23T02:56:32.809188+00:00,2026-04-23T02:57:02.228076+00:00,29.419,,
20260423025627,generate_dashboard.py,SUCCESS,2026-04-23T02:57:02.230304+00:00,2026-04-23T02:57:05.742770+00:00,3.512,,
20260423025627,export_for_powerbi.py,SUCCESS,2026-04-23T02:57:05.744469+00:00,2026-04-23T02:57:07.981071+00:00,2.237,900,
20260423025627,generate_presentation.py,SUCCESS,2026-04-23T02:57:07.988847+00:00,2026-04-23T02:57:08.664276+00:00,0.675,,
